# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
1	textures\Item\misc1.png	0	162	232
2	textures\Enemy\enemy.png	0	162	232
3	textures\Item\misc.png	176	224	248
4	textures\Enemy\enemies.png	255	255	255
5	textures\UI\ui.png	255	127	39
6	textures\Item\effect.png	176	224	248
7	textures\UI\goal.png	0	0	0




# id	left	top	right	bottom	texture_id
[SPRITES]
#----------------- HUD ------------------

#[NUMBER + FONT]
0	77	31	8	7	5
1	87	31	8	7	5
2	97	31	8	7	5
3	107	31	8	7	5
4	117	31	8	7	5
5	127	31	8	7	5
6	137	31	8	7	5
7	147	31	8	7	5
8	157	31	8	7	5
9	167	31	8	7	5

#[GAMEPLAY INFO]
#[Clear Course Text]
10	53	374	146	30	7
#[main card]
50	12	128	152	29	5

#[item card]
#empty card
51	160	159	24	28	5
#mushroom card
52	184	159	24	28	5
#flower card
53	208	159	24	28	5
#star card
54	232	159	24	28	5
#mario tag
55	16	161	16	7	5
#luigi tag
56	16	171	16	7	5
#bar segment unfill
57	91	162	8	7	5
#bar segment fill
58	64	162	8	7	5
#p unfill
59	100	162	15	7	5
#p fill
60	73	162	15	7	5

#[EFFECT]
#[Point effect]
#100
61	61	89	11	8	5
#200			
62	75	89	12	8	5
#400
63	90	89	12	8	5
#800
64	105	89	12	8	5
#1000
65	120	89	15	8	5
#2000
66	138	89	16	8	5
#4000
67	157	89	16	8	5
#8000
68	176	89	16	8	5
#1UP
69	195	89	16	8	5

#[Brick shatter effect]
70	37	120	8	8	6
71	48	120	8	8	6

#[Explode Effect]
72	80	20	16	16	6
73	99	20	16	16	6
74	114	20	16	16	6
75	129	20	16	16	6


#-------------- SMALL MARIO -------------

# IDLE FRONT
10001	397	8	16	16	0
# IDLE
10002	254	9	12	15	0
# WALK
10003	254	9	12	15	0
10004	269	8	15	16	0
# SKID
10005	287	8	14	16	0
# RUN
10006	323	8	16	16	0
10007	341	8	16	16	0
# JUMP
10008	304	8	16	16	0
# HIGH JUMP
10009	360	8	16	16	0
# DIE
10010	416	8	16	16	0
# SLIDE
10011	379	8	15	16	0
# HOLD
10012	435	8	14	16	0
10013	452	8	15	16	0
# KICK
10014	470	8	16	16	0
# DIVE
10015	489	8	16	16	0
10016	508	9	16	15	0
# SWIM
10017	527	9	14	15	0
10018	544	8	14	16	0
# CLIMB
10019	561	9	14	15	0
10020	578	9	14	15	0
# ENTER PIPE
11000	397	8	16	16	0


