91	91	91	91	91	91	91	91	92	93	91	91	91	91	91	91	91	91	91	91	91	91	92	93	91	91	91	91	91	91	91	91
91	91	91	91	91	91	91	91	95	96	3	3	3	3	3	3	3	3	3	3	3	3	95	96	91	91	91	91	91	91	91	91
91	91	91	91	91	91	91	91	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	91	91	91	91	91	91	91	91
91	91	91	91	91	91	91	91	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	91	91	91	91	91	91	91	91
91	91	91	91	91	91	91	91	3	3	3	3	3	3	3	3	3	3	3	3	3	91	91	91	91	91	91	91	91	91	91	91
91	91	91	91	91	91	91	91	3	3	3	3	3	3	3	3	3	3	3	3	91	91	91	91	91	91	91	91	91	91	91	91
91	91	91	91	91	91	91	91	3	3	3	3	3	3	3	3	3	3	3	91	91	91	91	91	91	91	91	91	91	91	91	91
91	91	91	91	91	91	91	91	3	3	3	3	3	3	3	3	3	3	91	91	91	91	91	91	91	91	91	91	91	91	91	91
91	91	91	91	91	91	91	91	3	3	3	3	3	3	3	3	3	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91
91	91	91	91	91	91	91	91	3	3	3	3	3	3	3	3	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91
91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91
91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91
