37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37
37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	37
3	23	23	23	5	6	7	6	8	6	9	6	7	23	23	10	37
3	23	23	23	11	23	23	23	11	23	23	23	11	23	23	10	37
3	6	12	6	13	23	23	23	14	6	15	6	16	23	23	10	37
3	23	23	23	17	23	23	23	11	23	23	23	23	23	23	10	37
3	23	23	23	14	6	18	6	19	23	23	20	21	22	23	10	37
3	23	23	23	11	23	23	23	23	20	21	24	25	30	23	10	37
3	23	23	27	14	27	16	6	7	28	7	6	29	30	23	10	37
3	23	27	27	11	27	27	23	11	26	23	23	23	30	23	10	37
3	23	27	27	31	6	7	6	32	33	21	21	21	24	23	10	37
34	35	35	35	35	35	35	35	35	35	35	35	35	35	35	36	37
37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37
37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37
